nama;tgl;judul;image;link
kompas.com;2022-09-27 21:23:00;Masalah “Stunting” Saat Debat Pilkada Jatim, Puti Mengaku Tidak Sebut Nama Anak Balita yang Dimaksud;https://asset.kompas.com/crops/MYTP54ldeuC-kq3LOzbV23ZnJ9k=/4x38:939x662/230x153/data/photo/2018/04/16/2141442146.jpg;http://regional.kompas.com/read/2018/04/16/21231941/masalah-stunting-saat-debat-pilkada-jatim-puti-mengaku-tidak-sebut-nama-anak
kompas.com;2022-09-27 21:16:00;Soal Stunting dan Kematian Ibu di Indonesia, Ini Solusi Para Cawapres;https://asset.kompas.com/crops/AVP1DEOs87xCqgwlkTGwgJP7HYg=/96x144:960x720/230x153/data/photo/2019/03/17/4075114397.jpg;http://sains.kompas.com/read/2019/03/17/211610823/soal-stunting-dan-kematian-ibu-di-indonesia-ini-solusi-para-cawapres
kompas.com;2022-09-27 21:14:00;KSAD Dudung Dikukuhkan Jadi Duta Bapak Asuh Anak Stunting Indonesia;https://asset.kompas.com/crops/24nyEjvw4dtaS9Lgmzr-0YHuFIo=/0x0:0x0/230x153/data/photo/2022/06/29/62bc40e3ee05e.jpg;http://yogyakarta.kompas.com/read/2022/06/29/211429478/ksad-dudung-dikukuhkan-jadi-duta-bapak-asuh-anak-stunting-indonesia
kompas.com;2022-09-27 21:13:00;Mensos Minta Pendamping PKH Bantu Tekan Angka Kasus TBC dan Stunting;https://asset.kompas.com/crops/umJo9F8Mh3R6Kzjao3cd7kPTW1c=/0x0:1280x853/230x153/data/photo/2020/11/09/5fa8b914b29dc.jpeg;http://nasional.kompas.com/read/2020/11/12/21131101/mensos-minta-pendamping-pkh-bantu-tekan-angka-kasus-tbc-dan-stunting
kompas.com;2022-09-27 21:08:00;Wapres Minta BKKBN Prioritaskan Percepatan Penurunan Angka Stunting;https://asset.kompas.com/crops/cbQH4xdZb_9AFUP1ZC7yNp6Q-lo=/0x0:0x0/230x153/data/photo/2020/02/11/5e424b8d5c16d.jpg;http://nasional.kompas.com/read/2020/02/12/21080681/wapres-minta-bkkbn-prioritaskan-percepatan-penurunan-angka-stunting
kompas.com;2022-09-27 21:04:00;Forum Nasional Stunting 2021, Wapres Ma'ruf Minta Daerah Kuatkan Komitmen Penurunan Stunting;https://asset.kompas.com/crops/3UaEyBh0tF6wj42D79kOjFN1QJE=/0x0:1023x682/230x153/data/photo/2021/12/14/61b89c2089164.jpeg;http://nasional.kompas.com/read/2021/12/14/21040521/forum-nasional-stunting-2021-wapres-maruf-minta-daerah-kuatkan-komitmen
kompas.com;2022-09-27 21:02:00;Ironi Indonesia di Balik Gembar-gembor Revolusi Industri 4.0;https://asset.kompas.com/crops/nZkQSVpBLvVAo3qJm2y3s6Wd7oU=/0x0:1000x667/230x153/data/photo/2018/10/31/220553007.jpg;http://sains.kompas.com/read/2019/02/19/210200523/ironi-indonesia-di-balik-gembar-gembor-revolusi-industri-40
kompas.com;2022-09-27 21:01:00;7 Provinsi Catat Angka Stunting Tertinggi Se-Indonesia, Ini Strategi Kemenkes untuk Mengatasinya;https://asset.kompas.com/crops/4TVP3XfTpckgbIzilhxRWSmFGHA=/0x0:888x592/230x153/data/photo/2022/04/12/6254f1e2e076e.jpg;http://www.kompas.com/sains/read/2022/07/25/210100623/7-provinsi-catat-angka-stunting-tertinggi-se-indonesia-ini-strategi
kompas.com;2022-09-27 20:59:00;Gus Halim: Penanganan Stunting Jadi Salah Satu Tujuan Pokok SDGs Desa;https://asset.kompas.com/crops/LfPcv2uP74W0n8mbvpzxX7dSADY=/0x0:780x520/230x153/data/photo/2021/11/14/6191115a23cb7.jpg;http://nasional.kompas.com/read/2021/11/14/20590951/gus-halim-penanganan-stunting-jadi-salah-satu-tujuan-pokok-sdgs-desa
kompas.com;2022-09-27 20:57:00;Bagaimana Konsumsi Protein Hewani Bisa Cegah Stunting?;https://asset.kompas.com/crops/DXROhsc_ndXkFOO3SipnOj-mFcg=/0x0:833x555/230x153/data/photo/2019/03/18/3461540443.jpg;http://lifestyle.kompas.com/read/2019/09/20/205751920/bagaimana-konsumsi-protein-hewani-bisa-cegah-stunting
